university,province,latitude,longitude
จุฬาลงกรณ์มหาวิทยาลัย,กรุงเทพมหานคร,13.7388624,100.5284077
มหาวิทยาลัยอุบลราชธานี วิทยาเขตหลัก,อุบลราชธานี,15.117235,104.9028512
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตอุเทนถวาย,กรุงเทพมหานคร,13.7416025,100.531376
มหาวิทยาลัยราชภัฏพระนคร,กรุงเทพมหานคร,13.8785649,100.5912186
มหาวิทยาลัยราชภัฏจันทรเกษม,กรุงเทพมหานคร,13.8188209,100.577309
มหาวิทยาลัยเทคโนโลยีสุรนารี วิทยาเขตหลัก,กรุงเทพมหานคร,14.8817715,102.0206962
มหาวิทยาลัยราชภัฏชัยภูมิ,ชัยภูมิ,15.9302262,102.0159272
มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,ภูเก็ต,7.894426,98.3528925
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น,ขอนแก่น,16.4282615,102.8635969
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย ตรัง,ตรัง,7.36810445,99.9545805
มหาวิทยาลัยแม่ฟ้าหลวง,เชียงราย,20.0447877,99.8942686
มหาวิทยาลัยหอการค้าไทย,กรุงเทพมหานคร,13.77885895,100.5578784
มหาวิทยาลัยเกษตรศาสตร์ บางเขน,กรุงเทพมหานคร,13.8518847,100.5675537
มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,นครนายก,14.1074545,100.9820801
มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,สงขลา,7.0091018,100.4972728
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ ระยอง,ระยอง,12.8238327,101.2153613
มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตพัฒนาการ,กรุงเทพมหานคร,13.7388186,100.6271427
มหาวิทยาลัยนวมินทราธิราช,กรุงเทพมหานคร,13.764421,100.51239185
มหาวิทยาลัยราชภัฏอุบลราชธานี วิทยาเขตหลัก,อุบลราชธานี,15.2460061,104.848601
มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,สกลนคร,17.2916162,104.1129242
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,กรุงเทพมหานคร,13.7298889,100.7782323
มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,ชลบุรี,13.1209244,100.9191991
มหาวิทยาลัยนเรศวร วิทยาเขตหลัก,พิษณุโลก,16.7479112,100.1919336
มหาวิทยาลัยราชภัฏนครราชสีมา หลัก,นครราชสีมา,14.9846388,102.1137011
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,กรุงเทพมหานคร,13.0389969,101.490104
มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า,กรุงเทพมหานคร,13.8037825,100.7393973
สถาบันการจัดการปัญญาภิวัฒน์ อีอีซี,ชลบุรี,12.7759314,100.9395492
มหาวิทยาลัยวลัยลักษณ์,นครศรีธรรมราช,8.6415683,99.8973624
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,ชลบุรี,13.5120396,100.629719
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ ศาลายา,นครปฐม,13.795885,100.300487
มหาวิทยาลัยนครพนม,13.8556296,100.4454089
มหาวิทยาลัยศรีปทุม,กรุงเทพมหานคร,13.6364886,100.7884715
มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,ปทุมธานี,14.0734367,100.602876
มหาวิทยาลัยราชภัฏพิบูลสงคราม,พิษณุโลก,16.8299369,100.2075576
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,กรุงเทพมหานคร,13.7322962,100.4901835
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,สมุทรปราการ,13.61320325,100.7584088
มหาวิทยาลัยธรรมศาสตร์ ศูนย์พัทยา,ชลบุรี,12.9193265,100.9961363
มหาวิทยาลัยมหาสารคาม มหาสารคาม,มหาสารคาม,16.2439983,103.2490469
มหาวิทยาลัยสงขลานครินทร์ สุราษฎร์ธานี,สุราษฎร์ธานี,9.0941937,99.3566244
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน สุรินทร์,สุรินทร์,14.8551331,103.4843326
มหาวิทยาลัยราชภัฏสงขลา สงขลา,สงขลา,7.1713604,100.6137327
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย นครศรีธรรมราช ขนอม,นครศรีธรรมราช,9.2696754,99.8165074
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วังไกลกังวล,ประจวบคีรีขันธ์,12.5177881,99.9519439
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ กรุงเทพฯ,กรุงเทพมหานคร,13.819137,100.5142878
มหาวิทยาลัยปทุมธานี,ปทุมธานี,14.0139192,100.549156
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,สงขลา,7.201236,100.5999827
มหาวิทยาลัยแม่โจ้ วิทยาเขตเชียงใหม่,เชียงใหม่,18.8946321,99.0108616
มหาวิทยาลัยราชภัฏสวนสุนันทา,กรุงเทพมหานคร,13.7731978,100.5073011
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตจันทบุรี,จันทบุรี,12.8378029,102.11224445
มหาวิทยาลัยบูรพา,ชลบุรี,13.2859354,100.9255796
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,นครราชสีมา,14.9699623,102.1501141
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ ปราจีนบุรี,ปราจีนบุรี,14.163687,101.365459
มหาวิทยาลัยรามคำแหง วิทยาเขตหลักหัวหมาก,กรุงเทพมหานคร,13.7587013,100.6181488
มหาวิทยาลัยสยาม วิทยาเขตหลัก,กรุงเทพมหานคร,13.7213053,100.4533478
มหาวิทยาลัยขอนแก่น ขอนแก่น,ขอนแก่น,16.4744103,102.8220243
มหาวิทยาลัยนราธิวาสราชนครินทร์,นราธิวาส,6.438194,101.7870212
มหาวิทยาลัยกาฬสินธุ์ วิทยาเขตหลัก,กาฬสินธุ์,16.54836425,103.6294245
มหาวิทยาลัยรังสิต,ปทุมธานี,13.9642507,100.5866942
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,กรุงเทพมหานคร,13.6512522,100.4964428
มหาวิทยาลัยธุรกิจบัณฑิตย์,กรุงเทพมหานคร,13.87080745,100.55006155
มหาวิทยาลัยทักษิณ พัทลุง,พัทลุง,7.4881515,100.27039235
มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,นครปฐม,14.0218481,99.9901346
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ชุมพรเขตรอุดมศักดิ์ จังหวัดชุมพร,ชุมพร,10.7241628,99.3752446
มหาวิทยาลัยเทคโนโลยีมหานคร,กรุงเทพมหานคร,13.8422302,100.8554904
มหาวิทยาลัยราชภัฏเพชรบุรี,เพชรบุรี,13.0695005,99.9756148
มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,เชียงใหม่,18.8909095,98.9602641
มหาวิทยาลัยมหิดล กาญจนบุรี,กาญจนบุรี,14.1295009,99.1596365
สถาบันเทคโนโลยีจิตรลดา,กรุงเทพมหานคร,13.7670826,100.5150009
มหาวิทยาลัยพะเยา,พะเยา,19.0284061,99.8964093
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,ปทุมธานี,14.0031165,100.67146415
สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,นนทบุรี,13.9017211,100.5327769
มหาวิทยาลัยศิลปากร สนามจันทร์,นครปฐม,13.8169023,100.0421047
มหาวิทยาลัยมหิดล ศาลายา,นครปฐม,13.7943814,100.3256274
